09:00 - 10:00,,開場 / Open,開場 / Open,開場 / Open,開場 / Open,開場 / Open
10:00 - 10:45,,"Session

10:25 :ref:`session-16-1025-Room433` (till 10:50)",:ref:`session-16-1000-Room351a`,":ref:`session-16-1000-Room357`

10:25 :ref:`session-16-1025-Room357` (till 10:50)",:ref:`session-16-1000-Room452`,:ref:`session-16-1000-Room358`
11:00 - 11:45,,リクルーティングセッション,:ref:`session-16-1100-Room351a`,:ref:`session-16-1100-Room357`,:ref:`session-16-1100-Room452`,:ref:`session-16-1100-Room358`
11:45 - 14:00,,昼休み & OpenSpace,昼休み & OpenSpace,昼休み & OpenSpace,昼休み & OpenSpace,昼休み & OpenSpace
14:00 - 15:00,,`Keynote: Dan Kogai <keynote.html#session-16-1400-room433>`_,,,,
15:15 - 16:00,,:ref:`session-16-1515-Room433`,:ref:`session-16-1515-Room351a`,:ref:`session-16-1515-Room357`,":ref:`session-16-1515-Room452`

15:40 :ref:`session-16-1540-Room452` (till 16:05)",:ref:`session-16-1515-Room358`
16:00 - 16:45,,Tea Break,Tea Break,Tea Break,Tea Break,Tea Break
16:45 - 17:30,,"Session

17:10 Session (till 17:35)",:ref:`session-16-1645-Room351a`,":ref:`session-16-1645-Room357`

17:10 :ref:`session-16-1710-Room357` (till 17:35)",":ref:`session-16-1645-Room452`

17:10 :ref:`session-16-1710-Room452` (till 17:35)",":ref:`session-16-1645-Room358`

17:10 :ref:`session-16-1710-Room358` (till 17:35)"
17:45 - 18:30,,Webフレームワークパネル (till 18:45),:ref:`session-16-1745-Room351a`,":ref:`session-16-1745-Room357`

18:10 :ref:`session-16-1810-Room357` (till 18:35)",":ref:`session-16-1745-Room452`

18:00 :ref:`session-16-1800-Room452`

18:15 :ref:`session-16-1815-Room452`",:ref:`session-16-1745-Room358`
18:45 - 19:00,,Closing,,,,
